AgeCE,DepthM
-4789,514.0598141
-4809,514.6843739
-4829,515.3076037
-4849,515.929455
-4869,516.5499266
-4889,517.1689647
-4909,517.7865779
-4929,518.4028683
-4949,519.0178075
-4969,519.6313397
-4989,520.2434579
-5009,520.8541251
-5029,521.4633208
-5049,522.0711562
-5069,522.6776301
-5089,523.2826768
-5109,523.8862726
-5129,524.4883961
-5149,525.0890168
-5169,525.6882263
-5189,526.2860481
-5209,526.8824541
-5229,527.4773748
-5249,528.0707853
-5269,528.6626855
-5289,529.253117
-5309,529.8421243
-5329,530.429704
-5349,531.0158174
-5369,531.6003897
-5389,532.1833926
-5409,532.7649045
-5429,533.3449725
-5449,533.9235615
-5469,534.500684
-5489,535.076311
-5509,535.6503294
-5529,536.2227424
-5549,536.793709
-5569,537.3632269
-5589,537.9312099
-5609,538.4976719
-5629,539.0626285
-5649,539.6259357
-5669,540.1876062
-5689,540.7478317
-5709,541.3066393
-5729,541.8638659
-5749,542.4195022
-5769,542.9735735
-5789,543.5260464
-5809,544.0768627
-5829,544.626184
-5849,545.1740562
-5869,545.7204185
-5889,546.2651175
-5909,546.8081637
-5929,547.3495834
-5949,547.8894603
-5969,548.427785
-5989,548.964568
-6009,549.499827
-6029,550.0335265
-6049,550.5655113
-6069,551.0957548
-6089,551.6244226
-6109,552.1516547
-6129,552.6773503
-6149,553.2014104
-6169,553.7238527
-6189,554.2446551
-6209,554.7637837
-6229,555.28119
-6249,555.7970816
-6269,556.311462
-6289,556.824344
-6309,557.3355956
-6329,557.845102
-6349,558.3528484
-6369,558.8589015
-6389,559.363532
-6409,559.8666015
-6429,560.3680512
-6449,560.867874
-6469,561.3661021
-6489,561.862689
-6509,562.3573933
-6529,562.8503788
-6549,563.3419035
-6569,563.8320151
-6589,564.3206417
-6609,564.807491
-6629,565.2925432
-6649,565.7758292
-6669,566.2574251
-6689,566.7375923
-6709,567.216147
-6729,567.6930842
-6749,568.1684389
-6769,568.6422559
-6789,569.114498
-6809,569.5847473
-6829,570.0530066
-6849,570.519757
-6869,570.9852093
-6889,571.4493894
-6909,571.9119383
-6929,572.3725906
-6949,572.831386
-6969,573.2883655
-6989,573.7436071
-7009,574.1975556
-7029,574.6499406
-7049,575.1007054
-7069,575.5499062
-7089,575.9975894
-7109,576.4437803
-7129,576.8881866
-7149,577.3300807
-7169,577.7699992
-7189,578.208801
-7209,578.6466211
-7229,579.0835946
-7249,579.5192144
-7269,579.9523677
-7289,580.3830259
-7309,580.81117
-7329,581.2369917
-7349,581.6628393
-7369,582.0895603
-7389,582.5141199
-7409,582.936232
-7429,583.3558631
-7449,583.7730133
-7469,584.1876998
-7489,584.6003565
-7509,585.0149602
-7529,585.4286535
-7549,585.839914
-7569,586.2487448
-7589,586.6551605
-7609,587.0591779
-7629,587.4612843
-7649,587.8627911
-7669,588.2636201
-7689,588.663586
-7709,589.0618534
-7729,589.4577844
-7749,589.85138
-7769,590.2430006
-7789,590.6333387
-7809,591.0223675
-7829,591.4100401
-7849,591.7963126
-7869,592.1811501
-7889,592.5644134
-7909,592.9456766
-7929,593.3253388
-7949,593.7034573
-7969,594.0800126
-7989,594.4549854
